pwm,rpm_r,v_r,rpm_l,v_l
0,27.0,0.09330530181161686,36.0,0.1244070690821558
5,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
30,0.0,0.0,36.0,0.1244070690821558
35,0.0,0.0,57.0,0.19697785938008003
40,0.0,0.0,63.0,0.21771237089377266
45,0.0,0.0,78.0,0.2695486496780043
50,0.0,0.0,84.0,0.2902831611916969
55,6.0,0.020734511513692634,99.0,0.3421194399759285
60,3.0,0.010367255756846317,108.0,0.37322120724646746
65,0.0,0.0,117.0,0.4043229745170064
70,0.0,0.0,129.0,0.44579199754439164
75,0.0,0.0,138.0,0.47689376481493057
80,0.0,0.0,147.0,0.5079955320854695
85,3.0,0.010367255756846317,162.0,0.5598318108697011
90,0.0,0.0,171.0,0.5909335781402402
95,0.0,0.0,180.0,0.6220353454107791
100,3.0,0.010367255756846317,192.0,0.6635043684381643
105,0.0,0.0,204.0,0.7049733914655496
110,3.0,0.010367255756846317,213.0,0.7360751587360885
115,9.0,0.03110176727053895,219.0,0.7568096702497812
120,3.0,0.010367255756846317,234.0,0.8086459490340128
125,0.0,0.0,240.0,0.8293804605477054
130,6.0,0.020734511513692634,252.0,0.8708494835750906
135,6.0,0.020734511513692634,258.0,0.8915839950887833
140,3.0,0.010367255756846317,267.0,0.9226857623593222
145,3.0,0.010367255756846317,282.0,0.9745220411435538
150,33.0,0.11403981332530949,294.0,1.015991064170939
155,0.0,0.0,300.0,1.0367255756846319
160,57.0,0.19697785938008003,309.0,1.0678273429551706
165,51.0,0.1762433478663874,321.0,1.1092963659825559
170,141.0,0.4872610205717769,327.0,1.1300308774962486
175,237.0,0.819013204790859,342.0,1.1818671562804803
180,144.0,0.4976282763286232,357.0,1.2337034350647118
185,66.0,0.22807962665061898,363.0,1.2544379465784044
190,9.0,0.03110176727053895,372.0,1.2855397138489435
195,39.0,0.13477432483900215,381.0,1.3166414811194822
200,12.0,0.04146902302738527,393.0,1.3581105041468675
205,27.0,0.09330530181161686,402.0,1.3892122714174067
210,24.0,0.08293804605477054,414.0,1.4306812944447918
215,33.0,0.11403981332530949,420.0,1.4514158059584843
220,48.0,0.16587609210954107,429.0,1.4825175732290232
225,6.0,0.020734511513692634,438.0,1.5136193404995624
230,9.0,0.03110176727053895,453.0,1.5654556192837938
235,69.0,0.23844688240746528,462.0,1.5965573865543328
240,12.0,0.04146902302738527,465.0,1.6069246423111794
245,6.0,0.020734511513692634,471.0,1.627659153824872
250,24.0,0.08293804605477054,480.0,1.6587609210954108
255,42.0,0.14514158059584845,495.0,1.7105971998796425
